Last_Update,Confirmed,Deaths,Recovered,Active
2020-03-23 23:19:21,749,8,13.0,728.0
2020-03-24 23:37:15,901,10,1.0,890.0
2020-03-25 23:33:04,1051,14,7.0,1030.0
2020-03-26 23:48:18,1221,16,7.0,1198.0
2020-03-27 23:23:03,1389,16,7.0,1366.0
2020-03-28 23:05:00,1638,18,7.0,1613.0
2020-03-29 23:08:00,1862,22,7.0,1833.0
2020-03-30 22:52:00,2055,31,7.0,2017.0
2020-03-31 23:43:43,2311,33,7.0,2271.0
2020-04-01 21:58:34,2554,43,47.0,2464.0
2020-04-02 23:25:00,2946,57,56.0,2833.0
2020-04-03 22:46:20,3383,71,56.0,3256.0
2020-04-04 23:34:00,3627,79,116.0,3432.0
2020-04-05 23:06:26,4102,94,134.0,3874.0
2020-04-06 23:21:00,4413,107,162.0,4144.0
2020-04-07 23:04:29,4848,129,191.0,4528.0
2020-04-08 22:51:39,5205,159,222.0,4824.0
2020-04-09 23:02:19,5575,174,284.0,5117.0
2020-04-10 22:53:48,5955,181,318.0,5456.0
2020-04-11 22:45:13,6356,208,375.0,5773.0
2020-04-12 23:17:00,6674,232,439.0,6003.0
2020-04-13 23:07:34,6934,245,487.0,6202.0
2020-04-14 23:33:12,7202,263,618.0,6321.0
2020-04-15 22:56:32,7582,286,668.0,6628.0
2020-04-16 23:30:31,7918,314,774.0,6830.0
2020-04-17 23:30:32,8379,332,866.0,7181.0
2020-04-18 22:32:28,8742,347,981.0,7414.0
2020-04-19 23:40:41,9287,360,1040.0,7887.0
2020-04-20 23:36:27,9593,380,1133.0,8080.0
2020-04-21 23:30:30,9856,401,1297.0,8158.0
2020-04-22 23:30:32,10169,426,1513.0,8230.0
2020-04-23 23:30:32,10169,426,1513.0,8230.0
2020-04-24 03:30:31,10511,454,1740.0,8317.0
2020-04-25 06:30:33,10892,494,1944.0,8454.0
2020-04-26 02:30:31,11273,524,2126.0,8623.0
2020-04-27 02:30:33,11617,535,2265.0,8817.0
2020-04-28 02:30:32,11902,562,2466.0,8874.0
2020-04-29 02:32:29,12218,596,2655.0,8967.0
2020-04-30 02:32:27,12640,624,3025.0,8991.0
2020-05-01 02:32:28,12877,644,3236.0,8997.0
2020-05-02 02:32:27,13105,651,3491.0,8963.0
2020-05-03 02:32:28,13375,664,3762.0,8949.0
2020-05-04 02:32:28,13693,678,3945.0,9070.0
2020-05-05 02:32:34,14006,698,4095.0,9213.0
2020-05-06 02:32:31,14431,716,4280.0,9435.0
2020-05-07 02:32:28,14740,733,4655.0,9352.0
2020-05-08 02:32:32,15047,755,4862.0,9430.0
2020-05-09 02:32:35,15366,776,5184.0,9406.0
2020-05-10 02:32:30,15651,785,5437.0,9429.0
2020-05-11 02:32:30,15996,800,5698.0,9498.0
2020-05-12 03:32:27,16326,811,5816.0,9699.0
2020-05-13 03:32:26,16921,839,6131.0,9951.0
2020-05-14 03:32:28,17204,861,6410.0,9933.0
2020-05-15 02:33:02,17615,883,6696.0,10036.0
2020-05-16 02:32:19,18016,907,6918.0,10191.0
2020-05-17 02:32:32,18257,915,7175.0,10167.0
2020-05-18 02:32:21,18529,925,7451.0,10153.0
2020-05-19 02:32:18,18885,936,7628.0,10321.0
2020-05-20 02:32:19,19268,948,7903.0,10417.0
2020-05-21 02:32:48,19739,962,8183.0,10594.0
2020-05-22 02:36:51,20143,972,8452.0,10719.0
2020-05-23 02:32:42,20619,982,8731.0,10906.0
2020-05-24 02:32:43,20931,993,8977.0,10961.0
2020-05-25 02:32:44,21326,996,9194.0,11136.0
2020-05-26 02:32:35,21631,1007,9276.0,11348.0
2020-05-27 02:32:31,22074,1024,10020.0,11030.0
2020-05-28 02:32:31,22473,1028,10330.0,11115.0
2020-05-29 02:32:50,22825,1038,10560.0,11227.0
2020-05-30 02:32:48,23155,1051,10692.0,11412.0
2020-05-31 02:32:45,23571,1061,11016.0,11494.0
2020-06-01 02:32:46,23786,1064,11271.0,11451.0
2020-06-02 02:33:08,24165,1074,11449.0,11642.0
2020-06-03 02:33:13,24395,1092,11726.0,11577.0
2020-06-04 02:33:14,24687,1115,12014.0,11558.0
2020-06-05 02:33:06,25048,1117,12227.0,11704.0
2020-06-06 02:33:00,25410,1137,12410.0,11863.0
2020-06-07 03:53:30,25986,1153,12641.0,12192.0
2020-06-08 03:33:22,26561,1157,12855.0,12549.0
2020-06-09 03:33:03,27160,1166,12998.0,12996.0
2020-06-10 04:07:00,27560,1183,13196.0,13181.0
2020-06-11 03:33:41,27842,1206,13411.0,13225.0
2020-06-12 05:09:52,28201,1215,13696.0,13290.0
2020-06-13 03:33:14,28577,1222,13805.0,13550.0
2020-06-14 03:33:15,29017,1237,14104.0,13676.0
2020-06-15 03:33:14,29392,1247,14226.0,13919.0
2020-06-16 04:33:09,29788,1256,14383.0,14149.0
2020-06-17 04:33:21,30195,1272,14654.0,14269.0
2020-06-18 04:33:18,30701,1286,14921.0,14494.0
